outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on,region_name
65,216496,3,2,1,2022-11-27 09:00:09.055084,2022-11-27 09:00:03.320014,Bayamón
66,141663,1,3,1,2022-11-27 09:00:11.708366,2022-11-27 09:00:03.320014,Carolina
67,250514,2,4,1,2022-11-27 09:00:12.096840,2022-11-27 09:00:03.320014,Caguas
68,216605,102,5,1,2022-11-27 09:00:15.492730,2022-11-27 09:00:03.320014,Mayagüez
69,212508,7,6,1,2022-11-27 09:00:16.820536,2022-11-27 09:00:03.320014,Ponce
70,253068,399,7,1,2022-11-27 09:00:22.942204,2022-11-27 09:00:03.320014,San Juan
71,177369,67,1,1,2022-11-27 10:00:19.671820,2022-11-27 10:00:04.847206,Arecibo
72,216496,3,2,1,2022-11-27 10:00:19.930741,2022-11-27 10:00:04.847206,Bayamón
73,141663,0,3,1,2022-11-27 10:00:20.617717,2022-11-27 10:00:04.847206,Carolina
74,250514,0,4,1,2022-11-27 10:00:20.857651,2022-11-27 10:00:04.847206,Caguas
75,216605,0,5,1,2022-11-27 10:00:21.736574,2022-11-27 10:00:04.847206,Mayagüez
76,212508,0,6,1,2022-11-27 10:00:22.030159,2022-11-27 10:00:04.847206,Ponce
77,253068,0,7,1,2022-11-27 10:00:22.310171,2022-11-27 10:00:04.847206,San Juan
78,177369,67,1,1,2022-11-27 11:00:18.688677,2022-11-27 11:00:04.955512,Arecibo
79,216496,3,2,1,2022-11-27 11:00:19.692568,2022-11-27 11:00:04.955512,Bayamón
80,141663,108,3,1,2022-11-27 11:00:20.579323,2022-11-27 11:00:04.955512,Carolina
81,250514,3,4,1,2022-11-27 11:00:21.415547,2022-11-27 11:00:04.955512,Caguas
82,216605,110,5,1,2022-11-27 11:00:21.704288,2022-11-27 11:00:04.955512,Mayagüez
83,212508,14,6,1,2022-11-27 11:00:21.947529,2022-11-27 11:00:04.955512,Ponce
84,253068,22,7,1,2022-11-27 11:00:22.267009,2022-11-27 11:00:04.955512,San Juan
85,177369,68,1,1,2022-11-27 12:00:04.535132,2022-11-27 12:00:03.501982,Arecibo
86,216496,3,2,1,2022-11-27 12:00:07.965868,2022-11-27 12:00:03.501982,Bayamón
87,141663,108,3,1,2022-11-27 12:00:08.201841,2022-11-27 12:00:03.501982,Carolina
88,250514,32,4,1,2022-11-27 12:00:09.714905,2022-11-27 12:00:03.501982,Caguas
89,216605,118,5,1,2022-11-27 12:00:09.973310,2022-11-27 12:00:03.501982,Mayagüez
90,212508,17,6,1,2022-11-27 12:00:11.437476,2022-11-27 12:00:03.501982,Ponce
91,253068,22,7,1,2022-11-27 12:00:13.983090,2022-11-27 12:00:03.501982,San Juan
92,177369,29,1,1,2022-11-27 13:00:05.944673,2022-11-27 13:00:04.363127,Arecibo
93,216496,3,2,1,2022-11-27 13:00:06.428960,2022-11-27 13:00:04.363127,Bayamón
94,141663,237,3,1,2022-11-27 13:00:07.452571,2022-11-27 13:00:04.363127,Carolina
95,250514,40,4,1,2022-11-27 13:00:07.666018,2022-11-27 13:00:04.363127,Caguas
96,216605,37,5,1,2022-11-27 13:00:08.164414,2022-11-27 13:00:04.363127,Mayagüez
97,212508,47,6,1,2022-11-27 13:00:09.349227,2022-11-27 13:00:04.363127,Ponce
98,253068,23,7,1,2022-11-27 13:00:09.621293,2022-11-27 13:00:04.363127,San Juan
99,177369,8,1,1,2022-11-27 14:00:06.089594,2022-11-27 14:00:05.416131,Arecibo
100,216496,8,2,1,2022-11-27 14:00:06.628879,2022-11-27 14:00:05.416131,Bayamón
101,141663,1,3,1,2022-11-27 14:00:07.722837,2022-11-27 14:00:05.416131,Carolina
102,250514,124,4,1,2022-11-27 14:00:07.941999,2022-11-27 14:00:05.416131,Caguas
103,216605,19,5,1,2022-11-27 14:00:08.501700,2022-11-27 14:00:05.416131,Mayagüez
104,212508,11,6,1,2022-11-27 14:00:12.188869,2022-11-27 14:00:05.416131,Ponce
105,253068,1,7,1,2022-11-27 14:00:13.315133,2022-11-27 14:00:05.416131,San Juan
106,177369,79,1,1,2022-11-27 15:00:08.903614,2022-11-27 15:00:04.069584,Arecibo
107,216496,9,2,1,2022-11-27 15:00:10.765630,2022-11-27 15:00:04.069584,Bayamón
108,141663,0,3,1,2022-11-27 15:00:11.002460,2022-11-27 15:00:04.069584,Carolina
109,250514,0,4,1,2022-11-27 15:00:13.079569,2022-11-27 15:00:04.069584,Caguas
110,216605,0,5,1,2022-11-27 15:00:13.653911,2022-11-27 15:00:04.069584,Mayagüez
111,212508,0,6,1,2022-11-27 15:00:15.013411,2022-11-27 15:00:04.069584,Ponce
112,253068,0,7,1,2022-11-27 15:00:15.269724,2022-11-27 15:00:04.069584,San Juan
113,177369,4,1,1,2022-11-27 16:00:04.859892,2022-11-27 16:00:03.354610,Arecibo
114,216496,4201,2,1,2022-11-27 16:00:06.966480,2022-11-27 16:00:03.354610,Bayamón
115,141663,0,3,1,2022-11-27 16:00:09.841599,2022-11-27 16:00:03.354610,Carolina
116,250514,0,4,1,2022-11-27 16:00:11.396730,2022-11-27 16:00:03.354610,Caguas
117,216605,0,5,1,2022-11-27 16:00:12.992783,2022-11-27 16:00:03.354610,Mayagüez
118,212508,0,6,1,2022-11-27 16:00:13.938981,2022-11-27 16:00:03.354610,Ponce
119,253068,0,7,1,2022-11-27 16:00:15.460659,2022-11-27 16:00:03.354610,San Juan
120,177369,3,1,1,2022-11-27 17:00:10.524937,2022-11-27 17:00:05.320190,Arecibo
121,216496,11,2,1,2022-11-27 17:00:11.582192,2022-11-27 17:00:05.320190,Bayamón
122,141663,0,3,1,2022-11-27 17:00:11.921350,2022-11-27 17:00:05.320190,Carolina
123,250514,0,4,1,2022-11-27 17:00:12.657148,2022-11-27 17:00:05.320190,Caguas
124,216605,0,5,1,2022-11-27 17:00:14.076490,2022-11-27 17:00:05.320190,Mayagüez
125,212508,0,6,1,2022-11-27 17:00:14.329774,2022-11-27 17:00:05.320190,Ponce
126,253068,0,7,1,2022-11-27 17:00:14.774062,2022-11-27 17:00:05.320190,San Juan
127,177369,1,1,1,2022-11-27 18:00:11.473073,2022-11-27 18:00:02.973551,Arecibo
128,216496,2,2,1,2022-11-27 18:00:12.647336,2022-11-27 18:00:02.973551,Bayamón
129,141663,0,3,1,2022-11-27 18:00:13.375979,2022-11-27 18:00:02.973551,Carolina
130,250514,0,4,1,2022-11-27 18:00:13.688231,2022-11-27 18:00:02.973551,Caguas
131,216605,0,5,1,2022-11-27 18:00:13.955617,2022-11-27 18:00:02.973551,Mayagüez
132,212508,0,6,1,2022-11-27 18:00:14.713351,2022-11-27 18:00:02.973551,Ponce
133,253068,0,7,1,2022-11-27 18:00:15.845008,2022-11-27 18:00:02.973551,San Juan
134,177369,2,1,1,2022-11-27 19:00:04.628856,2022-11-27 19:00:02.692863,Arecibo
135,216496,1,2,1,2022-11-27 19:00:12.611735,2022-11-27 19:00:02.692863,Bayamón
136,141663,0,3,1,2022-11-27 19:00:13.382082,2022-11-27 19:00:02.692863,Carolina
137,250514,0,4,1,2022-11-27 19:00:15.458838,2022-11-27 19:00:02.692863,Caguas
138,216605,0,5,1,2022-11-27 19:00:16.125837,2022-11-27 19:00:02.692863,Mayagüez
139,212508,0,6,1,2022-11-27 19:00:16.365224,2022-11-27 19:00:02.692863,Ponce
140,253068,0,7,1,2022-11-27 19:00:16.664690,2022-11-27 19:00:02.692863,San Juan
141,177369,2,1,1,2022-11-27 20:00:04.617801,2022-11-27 20:00:03.139595,Arecibo
142,216496,1,2,1,2022-11-27 20:00:05.042635,2022-11-27 20:00:03.139595,Bayamón
143,141663,0,3,1,2022-11-27 20:00:05.377683,2022-11-27 20:00:03.139595,Carolina
144,250514,0,4,1,2022-11-27 20:00:06.425589,2022-11-27 20:00:03.139595,Caguas
145,216605,0,5,1,2022-11-27 20:00:06.690841,2022-11-27 20:00:03.139595,Mayagüez
146,212508,0,6,1,2022-11-27 20:00:07.903321,2022-11-27 20:00:03.139595,Ponce
147,253068,0,7,1,2022-11-27 20:00:08.183060,2022-11-27 20:00:03.139595,San Juan
148,177369,1,1,1,2022-11-27 21:00:11.301240,2022-11-27 21:00:04.525317,Arecibo
149,216496,18,2,1,2022-11-27 21:00:11.590129,2022-11-27 21:00:04.525317,Bayamón
150,141663,0,3,1,2022-11-27 21:00:12.101836,2022-11-27 21:00:04.525317,Carolina
151,250514,0,4,1,2022-11-27 21:00:12.735597,2022-11-27 21:00:04.525317,Caguas
152,216605,0,5,1,2022-11-27 21:00:13.087934,2022-11-27 21:00:04.525317,Mayagüez
153,212508,0,6,1,2022-11-27 21:00:14.690058,2022-11-27 21:00:04.525317,Ponce
154,253068,0,7,1,2022-11-27 21:00:15.525652,2022-11-27 21:00:04.525317,San Juan
155,177369,235,1,1,2022-11-27 22:00:06.751879,2022-11-27 22:00:04.127244,Arecibo
156,216496,1,2,1,2022-11-27 22:00:07.264625,2022-11-27 22:00:04.127244,Bayamón
157,141663,1,3,1,2022-11-27 22:00:11.159667,2022-11-27 22:00:04.127244,Carolina
158,250514,65,4,1,2022-11-27 22:00:11.956157,2022-11-27 22:00:04.127244,Caguas
159,216605,1,5,1,2022-11-27 22:00:12.780486,2022-11-27 22:00:04.127244,Mayagüez
160,212508,10,6,1,2022-11-27 22:00:16.427860,2022-11-27 22:00:04.127244,Ponce
161,253068,37,7,1,2022-11-27 22:00:16.993720,2022-11-27 22:00:04.127244,San Juan
162,177369,2313,1,1,2022-11-27 23:00:18.686717,2022-11-27 23:00:05.211535,Arecibo
163,216496,2,2,1,2022-11-27 23:00:20.451315,2022-11-27 23:00:05.211535,Bayamón
164,141663,1,3,1,2022-11-27 23:00:20.683152,2022-11-27 23:00:05.211535,Carolina
165,250514,2,4,1,2022-11-27 23:00:23.237387,2022-11-27 23:00:05.211535,Caguas
166,216605,4,5,1,2022-11-27 23:00:24.787721,2022-11-27 23:00:05.211535,Mayagüez
