outage_data_id,total_clients,clients_without_power_service,region_id,source_id,source_last_updated_on,data_fetched_on
141,177369,2,1,1,00:04.6,00:03.1
142,216496,1,2,1,00:05.0,00:03.1
143,141663,0,3,1,00:05.4,00:03.1
144,250514,0,4,1,00:06.4,00:03.1
145,216605,0,5,1,00:06.7,00:03.1
146,212508,0,6,1,00:07.9,00:03.1
147,253068,0,7,1,00:08.2,00:03.1
148,177369,1,1,1,00:11.3,00:04.5
149,216496,18,2,1,00:11.6,00:04.5
150,141663,0,3,1,00:12.1,00:04.5
151,250514,0,4,1,00:12.7,00:04.5
152,216605,0,5,1,00:13.1,00:04.5
153,212508,0,6,1,00:14.7,00:04.5
154,253068,0,7,1,00:15.5,00:04.5
155,177369,235,1,1,00:06.8,00:04.1
156,216496,1,2,1,00:07.3,00:04.1
157,141663,1,3,1,00:11.2,00:04.1
158,250514,65,4,1,00:12.0,00:04.1
159,216605,1,5,1,00:12.8,00:04.1
160,212508,10,6,1,00:16.4,00:04.1
161,253068,37,7,1,00:17.0,00:04.1
162,177369,2313,1,1,00:18.7,00:05.2
163,216496,2,2,1,00:20.5,00:05.2
164,141663,1,3,1,00:20.7,00:05.2
165,250514,2,4,1,00:23.2,00:05.2
166,216605,4,5,1,00:24.8,00:05.2
167,212508,0,6,1,00:25.0,00:05.2
168,253068,0,7,1,00:25.3,00:05.2
169,177369,2315,1,1,00:06.0,00:04.1
170,216496,52,2,1,00:06.9,00:04.1
171,141663,0,3,1,00:12.7,00:04.1
172,250514,0,4,1,00:13.2,00:04.1
173,216605,0,5,1,00:16.1,00:04.1
174,212508,0,6,1,00:17.9,00:04.1
175,253068,0,7,1,00:19.1,00:04.1
176,177369,2318,1,1,00:07.5,00:04.8
177,216496,55,2,1,00:08.2,00:04.8
178,141663,0,3,1,00:10.3,00:04.8
179,250514,0,4,1,00:10.8,00:04.8
180,216605,0,5,1,00:11.1,00:04.8
181,212508,0,6,1,00:11.5,00:04.8
182,253068,0,7,1,00:11.8,00:04.8
183,177369,11118,1,1,00:07.1,00:02.8
184,216496,55,2,1,00:08.0,00:02.8
185,141663,1,3,1,00:08.4,00:02.8
186,250514,4,4,1,00:09.3,00:02.8
187,216605,356,5,1,00:10.2,00:02.8
188,212508,1,6,1,00:11.8,00:02.8
189,253068,1,7,1,00:13.5,00:02.8
190,177369,9643,1,1,00:16.8,00:05.2
191,216496,56,2,1,00:17.4,00:05.2
192,141663,0,3,1,00:17.6,00:05.2
193,250514,0,4,1,00:18.9,00:05.2
194,216605,0,5,1,00:22.9,00:05.2
195,212508,0,6,1,00:35.2,00:05.2
196,253068,0,7,1,00:35.9,00:05.2
197,177369,21,1,1,00:11.9,00:05.1
198,216496,56,2,1,00:13.1,00:05.1
199,141663,0,3,1,00:13.6,00:05.1
200,250514,0,4,1,00:14.1,00:05.1
201,216605,0,5,1,00:15.0,00:05.1
202,212508,0,6,1,00:15.6,00:05.1
203,253068,0,7,1,00:15.9,00:05.1
204,177369,22,1,1,00:06.0,00:02.7
205,216496,56,2,1,00:06.3,00:02.7
206,141663,0,3,1,00:06.8,00:02.7
207,250514,0,4,1,00:25.5,00:02.7
208,216605,0,5,1,00:27.9,00:02.7
209,212508,0,6,1,00:29.0,00:02.7
210,253068,0,7,1,00:31.9,00:02.7
211,177369,23,1,1,00:05.7,00:04.8
212,216496,56,2,1,00:07.5,00:04.8
213,141663,3464,3,1,00:07.9,00:04.8
214,250514,7,4,1,00:10.1,00:04.8
215,216605,0,5,1,00:12.2,00:04.8
216,212508,0,6,1,00:12.5,00:04.8
217,253068,0,7,1,00:13.0,00:04.8
218,177369,24,1,1,00:06.7,00:05.3
219,216496,56,2,1,00:07.3,00:05.3
220,141663,0,3,1,00:10.0,00:05.3
221,250514,0,4,1,00:10.2,00:05.3
222,216605,0,5,1,00:14.4,00:05.3
223,212508,0,6,1,00:14.7,00:05.3
224,253068,0,7,1,00:15.3,00:05.3
225,177369,26,1,1,00:07.4,00:05.0
226,216496,728,2,1,00:08.0,00:05.0
227,141663,0,3,1,00:08.7,00:05.0
228,250514,0,4,1,00:10.2,00:05.0
229,216605,0,5,1,00:10.9,00:05.0
230,212508,0,6,1,00:11.3,00:05.0
231,253068,0,7,1,00:11.8,00:05.0
232,177369,192,1,1,00:05.0,00:03.4
233,216496,731,2,1,00:05.4,00:03.4
234,141663,0,3,1,00:05.7,00:03.4
235,250514,0,4,1,00:06.0,00:03.4
236,216605,0,5,1,00:06.4,00:03.4
237,212508,0,6,1,00:06.6,00:03.4
238,253068,0,7,1,00:11.4,00:03.4
239,177369,192,1,1,00:06.6,00:05.4
240,216496,747,2,1,00:06.9,00:05.4
241,141663,62,3,1,00:07.4,00:05.4
242,250514,39,4,1,00:07.6,00:05.4
243,216605,0,5,1,00:07.9,00:05.4
244,212508,0,6,1,00:08.2,00:05.4
245,253068,0,7,1,00:08.6,00:05.4
246,177369,195,1,1,00:07.6,00:05.5
247,216496,55,2,1,00:08.5,00:05.5
248,141663,123,3,1,00:08.7,00:05.5
249,250514,20,4,1,00:08.9,00:05.5
250,216605,2,5,1,00:09.9,00:05.5
251,212508,1133,6,1,00:12.4,00:05.5
252,253068,144,7,1,00:12.7,00:05.5
253,177369,201,1,1,00:03.8,00:02.6
254,216496,57,2,1,00:04.4,00:02.6
255,141663,123,3,1,00:04.6,00:02.6
256,250514,27,4,1,00:08.2,00:02.6
257,216605,1,5,1,00:09.6,00:02.6
258,212508,408,6,1,00:11.2,00:02.6
259,253068,147,7,1,00:11.9,00:02.6
260,177369,190,1,1,00:04.4,00:03.0
261,216496,332,2,1,00:07.1,00:03.0
262,141663,124,3,1,00:07.9,00:03.0
263,250514,19,4,1,00:11.8,00:03.0
264,216605,3,5,1,00:12.1,00:03.0
265,212508,413,6,1,00:13.5,00:03.0
266,253068,247,7,1,00:18.3,00:03.0
267,177369,179,1,1,00:07.6,00:04.9
268,216496,285,2,1,00:08.5,00:04.9
269,141663,383,3,1,00:21.0,00:04.9
270,250514,56,4,1,00:21.6,00:04.9
271,216605,4,5,1,00:21.9,00:04.9
272,212508,412,6,1,00:22.8,00:04.9
273,253068,558,7,1,00:23.6,00:04.9
274,177369,178,1,1,00:04.1,00:02.9
275,216496,293,2,1,00:04.4,00:02.9
276,141663,309,3,1,00:04.9,00:02.9
277,250514,35,4,1,00:06.5,00:02.9
278,216605,28,5,1,00:06.7,00:02.9
279,212508,5,6,1,00:07.0,00:02.9
280,253068,560,7,1,00:07.2,00:02.9
281,177369,10,1,1,00:07.4,00:03.6
282,216496,5,2,1,00:08.2,00:03.6
283,141663,5322,3,1,00:08.8,00:03.6
284,250514,46,4,1,00:09.7,00:03.6
285,216605,37,5,1,00:10.0,00:03.6
286,212508,14,6,1,00:10.4,00:03.6
287,253068,350,7,1,00:10.7,00:03.6
288,177369,10,1,1,00:04.0,00:02.6
289,216496,5,2,1,00:05.1,00:02.6
290,141663,312,3,1,00:07.3,00:02.6
291,250514,34,4,1,00:09.4,00:02.6
292,216605,36,5,1,00:09.7,00:02.6
293,212508,13,6,1,00:10.3,00:02.6
294,253068,327,7,1,00:10.6,00:02.6
295,177369,10,1,1,00:05.2,00:04.3
296,216496,99,2,1,00:05.8,00:04.3
297,141663,364,3,1,00:12.9,00:04.3
298,250514,12,4,1,00:13.5,00:04.3
299,216605,38,5,1,00:14.6,00:04.3
300,212508,3,6,1,00:16.4,00:04.3
301,253068,321,7,1,00:17.6,00:04.3
302,177369,39,1,1,00:04.3,00:02.6
303,216496,269,2,1,00:05.2,00:02.6
304,141663,2,3,1,00:22.8,00:02.6
305,250514,63,4,1,00:23.7,00:02.6
306,216605,400,5,1,00:23.9,00:02.6
307,212508,0,6,1,00:24.3,00:02.6
308,253068,0,7,1,00:24.6,00:02.6
309,177369,185,1,1,00:16.6,00:02.9
310,216496,355,2,1,00:17.0,00:02.9
311,141663,9,3,1,00:17.7,00:02.9
312,250514,30,4,1,00:22.6,00:02.9
313,216605,389,5,1,00:22.9,00:02.9
314,212508,0,6,1,00:23.3,00:02.9
315,253068,0,7,1,00:25.2,00:02.9
316,177369,188,1,1,00:05.2,00:03.4
317,216496,101,2,1,00:05.7,00:03.4
318,141663,1,3,1,00:06.7,00:03.4
319,250514,26,4,1,00:08.8,00:03.4
320,216605,380,5,1,00:10.3,00:03.4
321,212508,3,6,1,00:11.1,00:03.4
322,253068,339,7,1,00:11.5,00:03.4
323,177369,6,1,1,00:05.3,00:04.5
324,216496,7,2,1,00:06.6,00:04.5
325,141663,2,3,1,00:07.2,00:04.5
326,250514,27,4,1,00:07.5,00:04.5
327,216605,387,5,1,00:08.1,00:04.5
328,212508,0,6,1,00:10.3,00:04.5
329,253068,0,7,1,00:10.6,00:04.5
330,177369,4,1,1,00:05.3,00:04.6
331,216496,1,2,1,00:05.7,00:04.6
332,141663,25,3,1,00:06.5,00:04.6
333,250514,20,4,1,00:06.8,00:04.6
334,216605,21,5,1,00:07.5,00:04.6
335,212508,40,6,1,00:07.9,00:04.6
336,253068,13,7,1,00:10.7,00:04.6
337,177369,4,1,1,00:06.4,00:04.7
338,216496,11,2,1,00:07.7,00:04.7
339,141663,22,3,1,00:08.0,00:04.7
340,250514,295,4,1,00:08.9,00:04.7
341,216605,22,5,1,00:09.2,00:04.7
342,212508,2,6,1,00:09.4,00:04.7
343,253068,14,7,1,00:09.9,00:04.7
344,177369,16,1,1,00:06.0,00:04.6
345,216496,1,2,1,00:17.7,00:04.6
346,141663,2,3,1,00:18.4,00:04.6
347,250514,296,4,1,00:18.6,00:04.6
348,216605,21,5,1,00:23.0,00:04.6
349,212508,17,6,1,00:25.7,00:04.6
350,253068,6,7,1,00:26.2,00:04.6
351,177369,16,1,1,00:04.5,00:03.3
352,216496,13,2,1,00:05.8,00:03.3
353,141663,2,3,1,00:08.7,00:03.3
354,250514,107,4,1,00:09.0,00:03.3
355,216605,1,5,1,00:11.9,00:03.3
356,212508,13,6,1,00:12.2,00:03.3
357,253068,6,7,1,00:13.4,00:03.3
358,177369,17,1,1,00:06.1,00:05.3
359,216496,2,2,1,00:06.4,00:05.3
360,141663,1,3,1,00:17.3,00:05.3
361,250514,108,4,1,00:17.6,00:05.3
362,216605,0,5,1,00:17.8,00:05.3
363,212508,0,6,1,00:21.1,00:05.3
364,253068,0,7,1,00:22.2,00:05.3
365,177369,17,1,1,00:06.5,00:05.8
366,216496,4,2,1,00:07.8,00:05.8
367,141663,21,3,1,00:08.3,00:05.8
368,250514,109,4,1,00:08.6,00:05.8
369,216605,0,5,1,00:11.1,00:05.8
370,212508,0,6,1,00:11.7,00:05.8
371,253068,0,7,1,00:12.1,00:05.8
372,177369,17,1,1,00:06.3,00:03.9
373,216496,2,2,1,00:20.1,00:03.9
374,141663,45,3,1,00:32.1,00:03.9
375,250514,109,4,1,00:32.4,00:03.9
376,216605,0,5,1,00:32.6,00:03.9
377,212508,0,6,1,00:35.6,00:03.9
378,253068,0,7,1,00:36.2,00:03.9
379,177369,17,1,1,00:04.1,00:03.0
380,216496,2,2,1,00:04.7,00:03.0
381,141663,121,3,1,00:05.0,00:03.0
382,250514,109,4,1,00:06.0,00:03.0
383,216605,1,5,1,00:06.4,00:03.0
384,212508,13,6,1,00:08.1,00:03.0
385,253068,7,7,1,00:08.8,00:03.0
386,177369,18,1,1,00:14.5,00:07.6
387,216496,2,2,1,00:14.8,00:07.6
388,141663,123,3,1,00:21.8,00:07.6
389,250514,108,4,1,00:22.2,00:07.6
390,216605,1,5,1,00:23.1,00:07.6
391,212508,13,6,1,00:23.4,00:07.6
392,253068,7,7,1,00:25.2,00:07.6
393,177369,17,1,1,00:08.4,00:04.7
394,216496,2,2,1,00:10.9,00:04.7
395,141663,170,3,1,00:11.1,00:04.7
396,250514,108,4,1,00:11.5,00:04.7
397,216605,2,5,1,00:24.9,00:04.7
398,212508,14,6,1,00:26.3,00:04.7
399,253068,7,7,1,00:26.5,00:04.7
400,177369,17,1,1,00:05.4,00:04.7
401,216496,2,2,1,00:16.4,00:04.7
402,141663,172,3,1,00:16.7,00:04.7
403,250514,108,4,1,00:17.2,00:04.7
404,216605,2,5,1,00:17.6,00:04.7
405,212508,14,6,1,00:17.9,00:04.7
406,253068,7,7,1,00:20.3,00:04.7
407,177369,32,1,1,00:04.7,00:03.5
408,216496,2,2,1,00:05.5,00:03.5
409,141663,177,3,1,00:11.2,00:03.5
410,250514,108,4,1,00:11.9,00:03.5
411,216605,97,5,1,00:12.5,00:03.5
412,212508,14,6,1,00:12.7,00:03.5
413,253068,120,7,1,00:12.9,00:03.5
414,177369,252,1,1,00:05.8,00:03.5
415,216496,116,2,1,00:07.3,00:03.5
416,141663,157,3,1,00:07.5,00:03.5
417,250514,109,4,1,00:08.3,00:03.5
418,216605,2,5,1,00:09.2,00:03.5
419,212508,14,6,1,00:09.4,00:03.5
420,253068,136,7,1,00:09.7,00:03.5
421,177369,42,1,1,00:04.6,00:02.7
422,216496,118,2,1,00:05.5,00:02.7
423,141663,181,3,1,00:05.7,00:02.7
424,250514,124,4,1,00:06.0,00:02.7
425,216605,4,5,1,00:06.8,00:02.7
426,212508,17,6,1,00:08.2,00:02.7
427,253068,135,7,1,00:09.9,00:02.7
428,177369,58,1,1,00:06.2,00:03.1
429,216496,120,2,1,00:06.4,00:03.1
430,141663,117,3,1,00:10.7,00:03.1
431,250514,1371,4,1,00:13.0,00:03.1
432,216605,48,5,1,00:15.7,00:03.1
433,212508,22,6,1,00:22.5,00:03.1
434,253068,139,7,1,00:23.2,00:03.1
435,177369,16,1,1,00:04.5,00:03.4
436,216496,426,2,1,00:04.8,00:03.4
437,141663,1,3,1,00:05.9,00:03.4
438,250514,1526,4,1,00:21.4,00:03.4
439,216605,82,5,1,00:25.5,00:03.4
440,212508,199,6,1,00:25.8,00:03.4
441,253068,352,7,1,00:26.5,00:03.4
442,177369,26,1,1,00:04.8,00:03.7
443,216496,443,2,1,00:06.2,00:03.7
444,141663,1,3,1,00:06.4,00:03.7
445,250514,1524,4,1,00:06.7,00:03.7
446,216605,338,5,1,00:07.3,00:03.7
447,212508,198,6,1,00:08.2,00:03.7
448,253068,450,7,1,00:08.5,00:03.7
449,177369,1485,1,1,00:06.7,00:05.0
450,216496,421,2,1,00:12.7,00:05.0
451,141663,171,3,1,00:12.9,00:05.0
452,250514,1527,4,1,00:13.4,00:05.0
453,216605,33,5,1,00:13.8,00:05.0
454,212508,202,6,1,00:15.5,00:05.0
455,253068,351,7,1,00:15.7,00:05.0
456,177369,130,1,1,00:04.3,00:02.7
457,216496,308,2,1,00:05.0,00:02.7
458,141663,172,3,1,00:06.9,00:02.7
459,250514,1390,4,1,00:08.1,00:02.7
460,216605,35,5,1,00:08.5,00:02.7
461,212508,186,6,1,00:08.7,00:02.7
462,253068,359,7,1,00:09.5,00:02.7
463,177369,1479,1,1,00:06.6,00:05.9
464,216496,269,2,1,00:09.0,00:05.9
465,141663,4,3,1,00:09.6,00:05.9
466,250514,1409,4,1,00:09.8,00:05.9
467,216605,2674,5,1,00:44.5,00:05.9
468,212508,186,6,1,00:45.1,00:05.9
469,253068,146,7,1,00:45.3,00:05.9
470,177369,1477,1,1,00:11.4,00:04.9
471,216496,273,2,1,00:13.8,00:04.9
472,141663,2,3,1,00:14.6,00:04.9
473,250514,1446,4,1,00:18.2,00:04.9
474,216605,2664,5,1,00:20.6,00:04.9
475,212508,185,6,1,00:23.0,00:04.9
476,253068,142,7,1,00:23.7,00:04.9
477,177369,75,1,1,00:04.0,00:02.7
478,216496,254,2,1,00:04.9,00:02.7
479,141663,4,3,1,00:14.7,00:02.7
480,250514,1445,4,1,00:34.0,00:02.7
481,216605,2664,5,1,00:34.3,00:02.7
482,212508,183,6,1,00:34.5,00:02.7
483,253068,134,7,1,00:41.2,00:02.7
484,177369,20,1,1,00:12.6,00:04.8
485,216496,260,2,1,00:13.0,00:04.8
486,141663,4,3,1,00:13.2,00:04.8
487,250514,1360,4,1,00:14.0,00:04.8
488,216605,2664,5,1,00:14.8,00:04.8
489,212508,3,6,1,00:36.9,00:04.8
490,253068,3,7,1,00:37.2,00:04.8
491,177369,21,1,1,00:05.8,00:05.1
492,216496,17,2,1,00:06.1,00:05.1
493,141663,1,3,1,00:06.8,00:05.1
494,250514,537,4,1,00:09.7,00:05.1
495,216605,2,5,1,00:10.0,00:05.1
496,212508,1,6,1,00:10.6,00:05.1
497,253068,2,7,1,00:11.8,00:05.1
498,177369,10,1,1,00:04.4,00:02.7
499,216496,2,2,1,00:05.1,00:02.7
500,141663,10,3,1,00:05.8,00:02.7
501,250514,874,4,1,00:06.4,00:02.7
502,216605,2,5,1,00:07.5,00:02.7
503,212508,2,6,1,00:08.1,00:02.7
504,253068,5,7,1,00:09.2,00:02.7
505,177369,1,1,1,00:05.0,00:03.7
506,216496,2,2,1,00:06.4,00:03.7
507,141663,0,3,1,00:07.9,00:03.7
508,250514,0,4,1,00:08.3,00:03.7
509,216605,0,5,1,00:09.4,00:03.7
510,212508,0,6,1,00:10.2,00:03.7
511,253068,0,7,1,00:11.2,00:03.7
512,177369,1,1,1,00:05.5,00:04.6
513,216496,2,2,1,00:05.9,00:04.6
514,141663,1,3,1,00:06.4,00:04.6
515,250514,844,4,1,00:08.2,00:04.6
516,216605,0,5,1,00:09.4,00:04.6
517,212508,0,6,1,00:10.2,00:04.6
518,253068,0,7,1,00:10.5,00:04.6
519,177369,654,1,1,00:11.2,00:04.3
520,216496,9,2,1,00:11.7,00:04.3
521,141663,0,3,1,00:11.9,00:04.3
522,250514,0,4,1,00:23.2,00:04.3
523,216605,0,5,1,00:23.9,00:04.3
524,212508,0,6,1,00:24.4,00:04.3
525,253068,0,7,1,00:25.0,00:04.3
526,177369,1236,1,1,00:04.8,00:03.6
527,216496,503,2,1,00:05.4,00:03.6
528,141663,0,3,1,00:06.5,00:03.6
529,250514,0,4,1,00:06.7,00:03.6
530,216605,0,5,1,00:08.4,00:03.6
531,212508,0,6,1,00:27.9,00:03.6
532,253068,0,7,1,00:28.1,00:03.6
533,177369,623,1,1,00:05.3,00:04.5
534,216496,182,2,1,00:05.6,00:04.5
535,141663,0,3,1,00:26.1,00:04.5
536,250514,0,4,1,00:26.3,00:04.5
537,216605,0,5,1,00:26.7,00:04.5
538,212508,0,6,1,00:27.0,00:04.5
539,253068,0,7,1,00:28.2,00:04.5
540,177369,623,1,1,00:06.0,00:03.5
541,216496,185,2,1,00:06.5,00:03.5
542,141663,0,3,1,00:12.1,00:03.5
543,250514,0,4,1,00:12.4,00:03.5
544,216605,0,5,1,00:13.9,00:03.5
545,212508,0,6,1,00:15.9,00:03.5
546,253068,0,7,1,00:20.8,00:03.5
547,177369,325,1,1,00:04.0,00:02.7
548,216496,193,2,1,00:04.5,00:02.7
549,141663,0,3,1,00:05.0,00:02.7
550,250514,0,4,1,00:13.1,00:02.7
551,216605,0,5,1,00:13.4,00:02.7
552,212508,0,6,1,00:15.4,00:02.7
553,253068,0,7,1,00:16.4,00:02.7
554,177369,325,1,1,00:10.2,00:06.1
555,216496,255,2,1,00:12.5,00:06.1
556,141663,0,3,1,00:29.2,00:06.1
557,250514,0,4,1,00:30.4,00:06.1
558,216605,0,5,1,00:31.6,00:06.1
559,212508,0,6,1,00:31.8,00:06.1
560,253068,0,7,1,00:32.6,00:06.1
561,177369,325,1,1,00:04.7,00:03.8
562,216496,3406,2,1,00:05.2,00:03.8
563,141663,0,3,1,00:06.0,00:03.8
564,250514,0,4,1,00:06.2,00:03.8
565,216605,0,5,1,00:06.5,00:03.8
566,212508,0,6,1,00:07.2,00:03.8
567,253068,0,7,1,00:07.6,00:03.8
568,177369,325,1,1,00:04.9,00:03.6
569,216496,3408,2,1,00:08.7,00:03.6
570,141663,1,3,1,00:10.7,00:03.6
571,250514,162,4,1,00:11.1,00:03.6
572,216605,0,5,1,00:11.4,00:03.6
573,212508,0,6,1,00:11.7,00:03.6
574,253068,0,7,1,00:11.9,00:03.6
575,177369,325,1,1,00:04.7,00:02.9
576,216496,3552,2,1,00:05.8,00:02.9
577,141663,2,3,1,00:06.2,00:02.9
578,250514,162,4,1,00:06.5,00:02.9
579,216605,0,5,1,00:07.8,00:02.9
580,212508,0,6,1,00:08.2,00:02.9
581,253068,0,7,1,00:08.6,00:02.9
582,177369,334,1,1,00:06.1,00:05.3
583,216496,342,2,1,00:08.7,00:05.3
584,141663,32,3,1,00:08.9,00:05.3
585,250514,161,4,1,00:09.3,00:05.3
586,216605,1,5,1,00:09.9,00:05.3
587,212508,0,6,1,00:10.3,00:05.3
588,253068,0,7,1,00:10.7,00:05.3
589,177369,350,1,1,00:03.4,00:02.6
590,216496,386,2,1,00:04.0,00:02.6
591,141663,288,3,1,00:07.2,00:02.6
592,250514,161,4,1,00:07.4,00:02.6
593,216605,2,5,1,00:07.6,00:02.6
594,212508,9,6,1,00:08.1,00:02.6
595,253068,47,7,1,00:09.3,00:02.6
596,177369,30,1,1,00:06.2,00:04.2
597,216496,630,2,1,00:06.9,00:04.2
598,141663,319,3,1,00:08.1,00:04.2
599,250514,130,4,1,00:09.7,00:04.2
