Datetime,Region,Total de Clientes,Clientes sin Servicio
9/27/22 16:09,Arecibo,177369,62505
9/27/22 16:09,Bayamon,216496,16416
9/27/22 16:09,Carolina,141663,14679
9/27/22 16:09,Caguas,250514,75461
9/27/22 16:09,Mayaguez,216605,136593
9/27/22 16:09,Ponce,212508,148196
9/27/22 16:09,San Juan,253068,12952
9/27/22 18:11,Arecibo,177369,63238
9/27/22 18:11,Bayamon,216496,14252
9/27/22 18:11,Carolina,141663,14919
9/27/22 18:11,Caguas,250514,61795
9/27/22 18:11,Mayaguez,216605,135640
9/27/22 18:11,Ponce,212508,150890
9/27/22 18:11,San Juan,253068,13006
9/28/22 8:20,Arecibo,177369,28873
9/28/22 8:20,Bayamon,216496,11510
9/28/22 8:20,Carolina,141663,2634
9/28/22 8:20,Caguas,250514,76771
9/28/22 8:20,Mayaguez,216605,108998
9/28/22 8:20,Ponce,212508,117166
9/28/22 8:20,San Juan,253068,10480
9/28/22 22:25,Arecibo,177369,13366
9/28/22 22:25,Bayamon,216496,6279
9/28/22 22:25,Carolina,141663,1285
9/28/22 22:25,Caguas,250514,35819
9/28/22 22:25,Mayaguez,216605,105833
9/28/22 22:25,Ponce,212508,95368
9/28/22 22:25,San Juan,253068,3934
9/29/22 8:11,Arecibo,177369,13166
9/29/22 8:11,Bayamon,216496,5294
9/29/22 8:11,Carolina,141663,1083
9/29/22 8:11,Caguas,250514,29164
9/29/22 8:11,Mayaguez,216605,98027
9/29/22 8:11,Ponce,212508,90332
9/29/22 8:11,San Juan,253068,2892
9/29/22 17:55,Arecibo,177369,43377
9/29/22 17:55,Bayamon,216496,1444
9/29/22 17:55,Carolina,141663,4611
9/29/22 17:55,Caguas,250514,32492
9/29/22 17:55,Mayaguez,216605,106947
9/29/22 17:55,Ponce,212508,82519
9/29/22 17:55,San Juan,253068,8824
9/29/22 23:08,Arecibo,177369,38426
9/29/22 23:08,Bayamon,216496,2809
9/29/22 23:08,Carolina,141663,5170
9/29/22 23:08,Caguas,250514,27197
9/29/22 23:08,Mayaguez,216605,116467
9/29/22 23:08,Ponce,212508,71324
9/29/22 23:08,San Juan,253068,4137
9/30/22 8:13,Arecibo,177369,29329
9/30/22 8:13,Bayamon,216496,2573
9/30/22 8:13,Carolina,141663,4628
9/30/22 8:13,Caguas,250514,13748
9/30/22 8:13,Mayaguez,216605,110048
9/30/22 8:13,Ponce,212508,65780
9/30/22 8:13,San Juan,253068,3593
9/30/22 20:42,Arecibo,177369,24925
9/30/22 20:42,Bayamon,216496,3391
9/30/22 20:42,Carolina,141663,389
9/30/22 20:42,Caguas,250514,25784
9/30/22 20:42,Mayaguez,216605,94614
9/30/22 20:42,Ponce,212508,64357
9/30/22 20:42,San Juan,253068,1460
10/1/22 10:20,Arecibo,177369,20507
10/1/22 10:20,Bayamon,216496,3682
10/1/22 10:20,Carolina,141663,438
10/1/22 10:20,Caguas,250514,22383
10/1/22 10:20,Mayaguez,216605,94658
10/1/22 10:20,Ponce,212508,65834
10/1/22 10:20,San Juan,253068,1545
10/1/22 16:35,Arecibo,177369,17902
10/1/22 16:35,Bayamon,216496,11865
10/1/22 16:35,Carolina,141663,679
10/1/22 16:35,Caguas,250514,17212
10/1/22 16:35,Mayaguez,216605,77768
10/1/22 16:35,Ponce,212508,46782
10/1/22 16:35,San Juan,253068,1458
10/1/22 20:46,Arecibo,177369,3294
10/1/22 20:46,Bayamon,216496,7154
10/1/22 20:46,Carolina,141663,634
10/1/22 20:46,Caguas,250514,16004
10/1/22 20:46,Mayaguez,216605,75485
10/1/22 20:46,Ponce,212508,40668
10/1/22 20:46,San Juan,253068,2832
10/2/22 9:20,Arecibo,177369,16645
10/2/22 9:20,Bayamon,216496,6776
10/2/22 9:20,Carolina,141663,484
10/2/22 9:20,Caguas,250514,19021
10/2/22 9:20,Mayaguez,216605,71172
10/2/22 9:20,Ponce,212508,36298
10/2/22 9:20,San Juan,253068,868
10/2/22 18:16,Arecibo,177369,15903
10/2/22 18:16,Bayamon,216496,5270
10/2/22 18:16,Carolina,141663,248
10/2/22 18:16,Caguas,250514,18239
10/2/22 18:16,Mayaguez,216605,72556
10/2/22 18:16,Ponce,212508,32826
10/2/22 18:16,San Juan,253068,1142
10/3/22 18:39,Arecibo,177369,9581
10/3/22 18:39,Bayamon,216496,1681
10/3/22 18:39,Carolina,141663,758
10/3/22 18:39,Caguas,250514,14777
10/3/22 18:39,Mayaguez,216605,75489
10/3/22 18:39,Ponce,212508,20318
10/3/22 18:39,San Juan,253068,543
